video_id,level,author,text,likeCount,publishedAt,replyCount,elm_path,sentiment,y_pos,hour
u_bwk8xMOeI,top,@itsalexismitchell,Congrats to Taylor and Travis! I hope they have a very happy marriage together!,272,2025-08-26 17:15:11+00:00,12,peripheral,positive,1,2025-08-26 17:00:00+00:00
u_bwk8xMOeI,top,@AA-jn2dt,:),3,2025-08-26 17:15:19+00:00,0,peripheral,positive,1,2025-08-26 17:00:00+00:00
u_bwk8xMOeI,top,@bonniepattie4856,So happy for them! ❤,17,2025-08-26 17:15:27+00:00,0,peripheral,positive,1,2025-08-26 17:00:00+00:00
u_bwk8xMOeI,top,@sabrinamaramba,First!! Finally after secs of refreshing the youtube,4,2025-08-26 17:15:28+00:00,0,peripheral,neutral,0,2025-08-26 17:00:00+00:00
u_bwk8xMOeI,top,@anandratnakushwaha2325,So Happy for her ❤️‍🔥❤️‍🔥,22,2025-08-26 17:15:30+00:00,0,peripheral,positive,1,2025-08-26 17:00:00+00:00
u_bwk8xMOeI,top,@reielcabawatan8458,OMG!!!!!!!!!🎉 Congratulations to both of them!!!!!,194,2025-08-26 17:15:31+00:00,11,peripheral,positive,1,2025-08-26 17:00:00+00:00
u_bwk8xMOeI,top,@short4sweet,"ladies and gentlemen, swifties and others, we officially have a father.",1750,2025-08-26 17:15:50+00:00,134,central,neutral,0,2025-08-26 17:00:00+00:00
u_bwk8xMOeI,top,@Vlogs_by_Evelyn1220,Omggggg,2,2025-08-26 17:15:51+00:00,0,peripheral,positive,1,2025-08-26 17:00:00+00:00
u_bwk8xMOeI,top,@SeahawkTua,Wake up Justin Herbert and Madison Beer. Only you can stop taylor now,1,2025-08-26 17:16:16+00:00,0,peripheral,negative,0,2025-08-26 17:00:00+00:00
u_bwk8xMOeI,top,@drkevin95,"So,High School 😮",3,2025-08-26 17:16:44+00:00,0,central,neutral,0,2025-08-26 17:00:00+00:00
u_bwk8xMOeI,top,@aishwaryashrestha,Congratulationssss babyyyy <3 <3 <3,5,2025-08-26 17:17:03+00:00,0,peripheral,positive,1,2025-08-26 17:00:00+00:00
u_bwk8xMOeI,top,@BirthdayTwin,Yesss❤❤❤,10,2025-08-26 17:18:25+00:00,0,peripheral,positive,1,2025-08-26 17:00:00+00:00
u_bwk8xMOeI,top,@Minniemouse1370,It’s a love story she said YESSSS,813,2025-08-26 17:18:35+00:00,22,peripheral,positive,1,2025-08-26 17:00:00+00:00
u_bwk8xMOeI,top,@First1ToComment,🤦‍♂️,1,2025-08-26 17:19:01+00:00,0,peripheral,negative,0,2025-08-26 17:00:00+00:00
u_bwk8xMOeI,top,@WeLiv4Brutality,OMG IM SO HAPPY FOR THEMMM,19,2025-08-26 17:19:04+00:00,0,peripheral,positive,1,2025-08-26 17:00:00+00:00
u_bwk8xMOeI,top,@JC_616,Bros carrer is officially over we lost a good one 😔,0,2025-08-26 17:19:09+00:00,7,central,negative,0,2025-08-26 17:00:00+00:00
u_bwk8xMOeI,top,@WeLiv4Brutality,CONGRATULATIONS!!,7,2025-08-26 17:19:14+00:00,0,peripheral,positive,1,2025-08-26 17:00:00+00:00
u_bwk8xMOeI,top,@swiftandswizzle,YESSSSSS FINALLY FOUND A VIDEO AB IT,35,2025-08-26 17:19:27+00:00,0,peripheral,positive,1,2025-08-26 17:00:00+00:00
u_bwk8xMOeI,top,@zshoopysnumberonefan_345,CRAZY,1,2025-08-26 17:19:29+00:00,0,peripheral,positive,1,2025-08-26 17:00:00+00:00
u_bwk8xMOeI,top,@Baddie_lexi12,OMGG I’m so happy that I’m gonna cry🥹😭❤️ congratulations to both of them 💋,6,2025-08-26 17:19:47+00:00,0,peripheral,positive,1,2025-08-26 17:00:00+00:00
u_bwk8xMOeI,top,@vburgan,Congratulations to Taylor & Travis! ❤🎉🫶,90,2025-08-26 17:19:49+00:00,0,peripheral,positive,1,2025-08-26 17:00:00+00:00
u_bwk8xMOeI,top,@jackashmore,Congrats to baby gronk,0,2025-08-26 17:19:59+00:00,0,peripheral,positive,1,2025-08-26 17:00:00+00:00
u_bwk8xMOeI,top,@dacechasinghawk3910,Finally.,1,2025-08-26 17:20:18+00:00,0,peripheral,positive,1,2025-08-26 17:00:00+00:00
u_bwk8xMOeI,top,@anna_leigh12,OH MY GOD OH MY GOD IM NOT OK HELPPPPPPP,1,2025-08-26 17:20:23+00:00,0,peripheral,positive,1,2025-08-26 17:00:00+00:00
u_bwk8xMOeI,top,@beverleyeliane,So happy for them ❤,6,2025-08-26 17:21:02+00:00,0,peripheral,positive,1,2025-08-26 17:00:00+00:00
u_bwk8xMOeI,top,@shabrinaz9877,And on Blake Lively's birthday... savage! Hahahaha,4,2025-08-26 17:21:05+00:00,0,central,positive,1,2025-08-26 17:00:00+00:00
